timestamp,chapter,percent,color,quote
7/22/23 20:45,5. Measuring Error,14.70%,#FFB,"It is average error, which is the distance between the peak of the bell curve and the true value. In panel B, this average error has not changed from the original situation—it is still high, at 10%,"
7/22/23 20:44,5. Measuring Error,13.80%,#FFB,For
2/9/23 2:20,Part VI: Optimal Noise,71.60%,#FFB,are seven major objections to efforts to reduce or eliminate noise
2/6/23 1:14,19. Debiasing and Decision Hygiene,53.00%,#FFB,One such tool is a checklist of the biases they are attempting to detect
2/6/23 1:13,19. Debiasing and Decision Hygiene,52.80%,#FFB,"Informal experiments suggest, however, that real progress can be made with this approach."
2/6/23 1:13,19. Debiasing and Decision Hygiene,52.80%,#FFB,the supervisor might also pay close attention to the process by which they are developed and to the team’s dynamics
2/6/23 1:12,19. Debiasing and Decision Hygiene,52.70%,#FFB,uses a checklist to diagnose whether any biases
2/6/23 1:11,19. Debiasing and Decision Hygiene,52.70%,#FFB,"For instance, the planning fallacy is a sufficiently robust finding to warrant debiasing interventions against overconfident planning"
2/6/23 1:11,19. Debiasing and Decision Hygiene,52.70%,#FFB,The Decision Observer
2/6/23 1:11,19. Debiasing and Decision Hygiene,52.70%,#FFB,"We suggest undertaking this search for biases neither before nor after the decision is made, but in real time."
2/6/23 1:10,19. Debiasing and Decision Hygiene,52.50%,#FFB,"upshot is that ex post or ex ante debiasing—which, respectively, correct or prevent specific psychological biases—are useful in some situations. These approaches work where the general direction of error is known and manifests itself as a clear statistical bias."
2/6/23 1:06,19. Debiasing and Decision Hygiene,52.10%,#FFB,"Educating people to overcome their biases is an honorable enterprise, but it is more challenging than it seems"
2/6/23 1:01,18. Better Judges for Better Judgments,51.60%,#FFB,"But the evidence suggests that if the goal is to reduce error, it is better for leaders (and others) to remain open to counterarguments and to know that they might be wrong"
2/6/23 0:59,18. Better Judges for Better Judgments,51.40%,#FFB,It is the humility of those who are constantly aware that their judgment is a work in progress and who yearn to be corrected
2/6/23 0:59,18. Better Judges for Better Judgments,51.40%,#FFB,"you may want to look for the sort of people who actively search for new information that could contradict their prior beliefs, who are methodical in integrating that information into their current perspective"
2/6/23 0:57,18. Better Judges for Better Judgments,51.20%,#FFB,"People who score well on the Adult Decision Making Competence scale or on the Halpern assessment seem to make better judgments in life: they experience fewer adverse life events driven by bad choices, such as needing to pay late fees for a movie rental and experiencing an unwanted pregnancy."
2/6/23 0:57,18. Better Judges for Better Judgments,51.20%,#FFB,“actively open-minded thinking
2/6/23 0:57,18. Better Judges for Better Judgments,51.20%,#FFB,Actively open-minded people agree with statements like this: “Allowing oneself to be convinced by an opposing argument is a sign of good character.” They disagree with the proposition that “changing your mind is a sign of weakness” or that “intuition is the best guide in making decisions.”
2/6/23 0:54,18. Better Judges for Better Judgments,51.00%,#FFB,"Adult Decision Making Competence scale, which"
2/6/23 0:54,18. Better Judges for Better Judgments,51.00%,#FFB,"Halpern Critical Thinking Assessment,"
2/6/23 0:52,18. Better Judges for Better Judgments,50.80%,#FFB,"Lower CRT scores are associated with many real-world judgments and beliefs, including belief in ghosts, astrology, and extrasensory perception"
2/6/23 0:52,18. Better Judges for Better Judgments,50.80%,#DFC,"reflection test (CRT),"
